Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,VMT,Trips,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HTSK,ROG_RUNLS,ROG_RESTL,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HTSK,TOG_RUNLS,TOG_RESTL,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,PM2_5_RUNEX,PM2_5_IDLEX,PM2_5_STREX,PM2_5_TOTEX,PM2_5_PMTW,PM2_5_PMBW,PM2_5_TOTAL,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,Fuel Consumption
Statewide,2010,HHDT,Aggregated,Aggregated,GAS,3658.995385,268657.74,73209.17966,0.679186768,0,3.76921E-05,0.67922446,0.001025523,0.072285133,0.349320373,0.000477949,1.102333438,0.85590799,0,4.12681E-05,0.855949258,0.001025523,0.072285133,0.349320373,0.000477949,1.279058235,24.47890206,0,0.239954509,24.71885657,2.467731118,0,0.029462805,2.497193923,709.1749761,0,8.564175246,717.7391514,0.095714278,0,7.20612E-06,0.095721484,0.001468522,0,0.0006141,0.002082622,0.005922889,0.018283959,0.026289471,0.001386886,0,0.00058462,0.001971506,0.001480722,0.007835983,0.011288211,0.007000212,0,8.45363E-05,0.007084748,0.071696159,0,0.000875435,0.072571594,75.56913255
Statewide,2010,HHDT,Aggregated,Aggregated,DSL,237239.5286,29838815.22,2539445.034,35.19212107,2.299358804,0,37.49147987,0,0,0,0,37.49147987,40.06355097,2.617644968,0,42.68119594,0,0,0,0,42.68119594,114.7227369,6.496844454,0,121.2195813,485.8120843,16.56976242,0.144572871,502.5264196,58834.88009,1864.093654,0,60698.97375,1.634582875,0.106799261,0,1.741382136,18.54396758,0.402989539,0,18.94695712,1.171741523,2.009536711,22.12823535,17.74176375,0.38555639,0,18.12732014,0.292935381,0.861230019,19.28148554,0.554432694,0.017566356,0,0.571999051,9.224563143,0.292266247,0,9.51682939,5395.953044
Statewide,2010,HHDT,Aggregated,Aggregated,NG,1735.656507,69219.49649,6769.060376,0.1329729,0.000685311,0,0.133658211,0,0,0,0,0.133658211,0.954934714,0.005092498,0,0.960027212,0,0,0,0,0.960027212,0.475795071,0.031263617,0,0.507058688,1.418467034,0.103075552,0,1.521542586,281.8062807,9.28599405,0,291.0922747,0.79999292,0.004293234,0,0.804286153,0.002421091,0.000604775,0,0.003025866,0.002746852,0.004710851,0.010483568,0.002316356,0.000578612,0,0.002894968,0.000686713,0.002018936,0.005600617,0,0,0,0,0.057813592,0.001905056,0,0.059718648,33.85991344
Statewide,2010,LDA,Aggregated,Aggregated,GAS,12769773.29,465813987.5,59497330.66,46.70576686,0,53.98892539,100.6946922,11.00637533,16.8550723,43.83192608,7.184171367,179.5722373,63.64231672,0,59.07233468,122.7146514,11.00637533,16.8550723,43.83192608,7.184171367,201.5921965,1491.759125,0,247.2875232,1739.046648,141.5307599,0,32.88986181,174.4206217,177297.4486,0,4827.497022,182124.9456,9.094762668,0,9.705712888,18.80047556,1.605809055,0,0.268307975,1.87411703,4.107776217,18.870097,24.85199025,1.480407822,0,0.24821068,1.728618502,1.026944054,8.087184428,10.84274698,1.750089456,0,0.047651851,1.797741307,9.579194913,0,2.756896931,12.33609184,19175.52376
Statewide,2010,LDA,Aggregated,Aggregated,DSL,62322.9053,1661670.139,260232.1636,0.277843743,0,0,0.277843743,0,0,0,0,0.277843743,0.316306629,0,0,0.316306629,0,0,0,0,0.316306629,1.903577008,0,0,1.903577008,2.089814083,0,0,2.089814083,550.8093444,0,0,550.8093444,0.012905311,0,0,0.012905311,0.201976474,0,0,0.201976474,0.014653422,0.067314159,0.283944055,0.193239061,0,0,0.193239061,0.003663356,0.028848925,0.225751342,0.00519392,0,0,0.00519392,0.086359921,0,0,0.086359921,48.96526539
Statewide,2010,LDA,Aggregated,Aggregated,ELEC,11891.54914,339236.5563,57494.48462,0,0,0,0,0.00029248,0.000309787,0,0.0001005,0.000702767,0,0,0,0,0.00029248,0.000309787,0,0.0001005,0.000702767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002991554,0.013742453,0.016734007,0,0,0,0,0.000747889,0.005889623,0.006637511,0,0,0,0,0,0,0,0,0
Statewide,2010,LDT1,Aggregated,Aggregated,GAS,1611609.043,51497704.85,7128417.605,13.6352017,0,9.657016063,23.29221777,2.754153169,4.123648504,16.00577749,1.741252042,47.91704897,17.51190437,0,10.5623521,28.07425647,2.754153169,4.123648504,16.00577749,1.741252042,52.69908767,353.6744903,0,39.21297741,392.8874677,37.26194036,0,5.751937255,43.01387761,22843.97361,0,695.3442599,23539.31787,2.284297529,0,1.62774218,3.912039709,0.38353352,0,0.058373612,0.441907132,0.45413202,2.086168968,2.982208121,0.354760534,0,0.054100586,0.40886112,0.113533005,0.894072415,1.41646654,0.225491104,0,0.00686369,0.232354793,2.035302394,0,0.388178738,2.423481132,2478.40156
Statewide,2010,LDT1,Aggregated,Aggregated,DSL,3900.244509,90209.56651,15128.75055,0.02471425,0,0,0.02471425,0,0,0,0,0.02471425,0.028135531,0,0,0.028135531,0,0,0,0,0.028135531,0.148172842,0,0,0.148172842,0.148825547,0,0,0.148825547,46.21453559,0,0,46.21453559,0.00114793,0,0,0.00114793,0.019079999,0,0,0.019079999,0.000795512,0.003654384,0.023529896,0.018254607,0,0,0.018254607,0.000198878,0.001566165,0.02001965,0.000435785,0,0,0.000435785,0.007245853,0,0,0.007245853,4.10833081
Statewide,2010,LDT1,Aggregated,Aggregated,ELEC,1292.896468,32220.91885,5961.247836,0,0,0,0,3.03617E-05,3.21199E-05,0,9.91282E-06,7.23945E-05,0,0,0,0,3.03617E-05,3.21199E-05,0,9.91282E-06,7.23945E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028414,0.001305268,0.001589407,0,0,0,0,7.1035E-05,0.0005594,0.000630435,0,0,0,0,0,0,0,0,0
Statewide,2010,LDT2,Aggregated,Aggregated,GAS,4436710.577,161627358.3,20773689.87,19.10624293,0,21.43990338,40.54614631,3.372496938,5.167478399,19.94009053,2.236155548,71.26236772,25.84039452,0,23.46503258,49.30542711,3.372496938,5.167478399,19.94009053,2.236155548,80.02164852,624.5350709,0,109.5637094,734.0987803,84.82614417,0,20.01418906,104.8403332,81705.12327,0,2224.982408,83930.10567,3.641668585,0,3.872080412,7.513748997,0.550545123,0,0.083948307,0.63449343,1.425309322,6.547514696,8.607317447,0.508019175,0,0.077543837,0.585563012,0.35632733,2.806077727,3.747968069,0.806504977,0,0.02196263,0.828467607,4.901429222,0,1.40455296,6.305982182,8836.811073
